6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
1.0,1.0,84006053.0,"Monterey, California, US",10.0,10.0
0.0,0.0,84006055.0,"Napa, California, US",3.0,3.0
0.0,0.0,84006057.0,"Nevada, California, US",1.0,1.0
27.0,27.0,84006059.0,"Orange, California, US",150.0,158.0
1.0,1.0,84006061.0,"Placer, California, US",9.0,9.0
0.0,0.0,84006063.0,"Plumas, California, US",0.0,0.0
61.0,59.0,84006065.0,"Riverside, California, US",342.0,342.0
10.0,10.0,84006067.0,"Sacramento, California, US",58.0,58.0
0.0,0.0,84006069.0,"San Benito, California, US",2.0,2.0
37.0,37.0,84006071.0,"San Bernardino, California, US",208.0,209.0
49.0,49.0,84006073.0,"San Diego, California, US",269.0,276.0
7.0,7.0,84006075.0,"San Francisco, California, US",43.0,43.0
6.0,6.0,84006077.0,"San Joaquin, California, US",35.0,35.0
0.0,0.0,84006079.0,"San Luis Obispo, California, US",1.0,1.0
15.0,15.0,84006081.0,"San Mateo, California, US",84.0,84.0
2.0,2.0,84006083.0,"Santa Barbara, California, US",12.0,14.0
26.0,26.0,84006085.0,"Santa Clara, California, US",143.0,144.0
0.0,0.0,84006087.0,"Santa Cruz, California, US",2.0,2.0
0.0,0.0,84006089.0,"Shasta, California, US",4.0,4.0
0.0,0.0,84006091.0,"Sierra, California, US",0.0,0.0
0.0,0.0,84006093.0,"Siskiyou, California, US",0.0,0.0
4.0,4.0,84006095.0,"Solano, California, US",22.0,22.0
0.0,0.0,84006097.0,"Sonoma, California, US",4.0,4.0
5.0,5.0,84006099.0,"Stanislaus, California, US",29.0,30.0
0.0,0.0,84006101.0,"Sutter, California, US",2.0,2.0
0.0,0.0,84006103.0,"Tehama, California, US",1.0,1.0
0.0,0.0,84006105.0,"Trinity, California, US",0.0,0.0
16.0,15.0,84006107.0,"Tulare, California, US",89.0,90.0
0.0,0.0,84006109.0,"Tuolumne, California, US",0.0,0.0
6.0,6.0,84006111.0,"Ventura, California, US",34.0,34.0
4.0,4.0,84006113.0,"Yolo, California, US",24.0,24.0
0.0,0.0,84006115.0,"Yuba, California, US",1.0,1.0
22.0,22.0,84008001.0,"Adams, Colorado, US",125.0,127.0
0.0,0.0,84008003.0,"Alamosa, Colorado, US",2.0,2.0
56.0,56.0,84008005.0,"Arapahoe, Colorado, US",309.0,320.0
0.0,0.0,84008007.0,"Archuleta, Colorado, US",0.0,0.0
0.0,0.0,84008009.0,"Baca, Colorado, US",0.0,0.0
0.0,0.0,84008011.0,"Bent, Colorado, US",0.0,0.0
12.0,12.0,84008013.0,"Boulder, Colorado, US",67.0,67.0
