UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84005119,Pulaski,Arkansas,US,"Pulaski, Arkansas, US",34,34,35,35,37,37
84005121,Randolph,Arkansas,US,"Randolph, Arkansas, US",0,0,0,0,0,0
84005123,St. Francis,Arkansas,US,"St. Francis, Arkansas, US",1,1,1,1,1,1
84005125,Saline,Arkansas,US,"Saline, Arkansas, US",1,1,1,1,1,1
84005127,Scott,Arkansas,US,"Scott, Arkansas, US",0,0,0,0,0,0
84005129,Searcy,Arkansas,US,"Searcy, Arkansas, US",0,0,0,0,0,0
84005131,Sebastian,Arkansas,US,"Sebastian, Arkansas, US",0,0,0,1,1,1
84005133,Sevier,Arkansas,US,"Sevier, Arkansas, US",2,2,2,2,2,2
84005135,Sharp,Arkansas,US,"Sharp, Arkansas, US",2,2,2,2,3,3
84005137,Stone,Arkansas,US,"Stone, Arkansas, US",0,0,0,0,0,0
84005139,Union,Arkansas,US,"Union, Arkansas, US",8,8,9,10,11,11
84005141,Van Buren,Arkansas,US,"Van Buren, Arkansas, US",2,2,2,2,2,2
84005143,Washington,Arkansas,US,"Washington, Arkansas, US",7,7,7,7,8,8
84005145,White,Arkansas,US,"White, Arkansas, US",1,1,1,1,1,1
84005147,Woodruff,Arkansas,US,"Woodruff, Arkansas, US",0,0,0,0,0,0
84005149,Yell,Arkansas,US,"Yell, Arkansas, US",1,1,1,1,2,2
84006001,Alameda,California,US,"Alameda, California, US",96,96,97,97,97,101
84006003,Alpine,California,US,"Alpine, California, US",0,0,0,0,0,0
84006005,Amador,California,US,"Amador, California, US",0,0,0,0,0,0
84006007,Butte,California,US,"Butte, California, US",0,0,1,1,1,1
84006009,Calaveras,California,US,"Calaveras, California, US",0,0,0,0,0,0
84006011,Colusa,California,US,"Colusa, California, US",0,0,0,0,0,0
84006013,Contra Costa,California,US,"Contra Costa, California, US",37,38,37,38,38,38
84006015,Del Norte,California,US,"Del Norte, California, US",0,0,0,0,0,0
84006017,El Dorado,California,US,"El Dorado, California, US",0,0,0,0,0,0
