Country,City,State,Predicted,Actual,Diff,Diff_Percent
US,Hickman,Tennessee,0.460074879,0,0.460074879,0
US,Houston,Tennessee,0.460064506,0,0.460064506,0
US,Humphreys,Tennessee,0.460066901,0,0.460066901,0
US,Jackson,Tennessee,0.460058893,0,0.460058893,0
US,Jefferson,Tennessee,0.460071591,0,0.460071591,0
US,Johnson,Tennessee,0.460061574,0,0.460061574,0
US,Knox,Tennessee,0.46007014,0,0.46007014,0
US,Lake,Tennessee,0.460062573,0,0.460062573,0
US,Lauderdale,Tennessee,0.460067117,0,0.460067117,0
US,Lawrence,Tennessee,0.460057768,0,0.460057768,0
US,Lewis,Tennessee,0.460069282,0,0.460069282,0
US,Lincoln,Tennessee,0.460063273,0,0.460063273,0
US,Loudon,Tennessee,0.460073243,0,0.460073243,0
US,McMinn,Tennessee,2.812101072,2,0.812101072,-0.406050536
US,McNairy,Tennessee,0.460065463,0,0.460065463,0
US,Macon,Tennessee,0.460060646,0,0.460060646,0
US,Madison,Tennessee,0.460065308,0,0.460065308,0
US,Marion,Tennessee,0.460055668,0,0.460055668,0
US,Marshall,Tennessee,0.460062139,0,0.460062139,0
US,Maury,Tennessee,0.460066969,0,0.460066969,0
US,Meigs,Tennessee,0.460059529,0,0.460059529,0
US,Monroe,Tennessee,0.460074959,0,0.460074959,0
US,Montgomery,Tennessee,0.460070832,0,0.460070832,0
US,Moore,Tennessee,0.460068799,0,0.460068799,0
US,Morgan,Tennessee,0.460067774,0,0.460067774,0
US,Obion,Tennessee,0.4600692,0,0.4600692,0
US,Overton,Tennessee,0.460063264,0,0.460063264,0
US,Perry,Tennessee,0.460067698,0,0.460067698,0
US,Pickett,Tennessee,0.460074308,0,0.460074308,0
US,Polk,Tennessee,0.460066848,0,0.460066848,0
US,Putnam,Tennessee,0.460063214,1,-0.539936786,0.539936786
US,Rhea,Tennessee,0.460060039,0,0.460060039,0
US,Roane,Tennessee,0.46006747,0,0.46006747,0
US,Robertson,Tennessee,0.460058892,0,0.460058892,0
US,Rutherford,Tennessee,4.801586832,5,-0.198413168,0.039682634
US,Scott,Tennessee,0.46006122,0,0.46006122,0
US,Sequatchie,Tennessee,0.460068339,0,0.460068339,0
US,Sevier,Tennessee,0.460062078,0,0.460062078,0
US,Shelby,Tennessee,21.10791951,21,0.107919511,-0.005139024
US,Smith,Tennessee,0.460072849,0,0.460072849,0
US,Stewart,Tennessee,0.46007387,0,0.46007387,0
US,Sullivan,Tennessee,0.460062669,0,0.460062669,0
US,Sumner,Tennessee,8.780794054,8,0.780794054,-0.097599257
US,Tipton,Tennessee,0.460064541,0,0.460064541,0
US,Trousdale,Tennessee,0.460065068,0,0.460065068,0
US,Unicoi,Tennessee,0.460063663,0,0.460063663,0
US,Union,Tennessee,0.460076581,0,0.460076581,0
US,Van Buren,Tennessee,0.460058139,0,0.460058139,0
US,Warren,Tennessee,0.460073423,0,0.460073423,0
US,Washington,Tennessee,0.460060191,0,0.460060191,0
US,Wayne,Tennessee,0.460057581,0,0.460057581,0
US,Weakley,Tennessee,0.460058811,0,0.460058811,0
US,White,Tennessee,0.460071165,0,0.460071165,0
US,Williamson,Tennessee,2.193824064,2,0.193824064,-0.096912032
US,Wilson,Tennessee,1.779137157,1,0.779137157,-0.779137157
US,Anderson,Texas,0.460077712,0,0.460077712,0
US,Andrews,Texas,0.460061158,0,0.460061158,0
US,Angelina,Texas,0.460062232,0,0.460062232,0
US,Aransas,Texas,0.460075726,0,0.460075726,0
US,Archer,Texas,0.460063318,0,0.460063318,0
US,Armstrong,Texas,0.460072471,0,0.460072471,0
US,Atascosa,Texas,0.460060193,0,0.460060193,0
US,Austin,Texas,0.460076608,0,0.460076608,0
US,Bailey,Texas,0.460074945,0,0.460074945,0
US,Bandera,Texas,0.460064002,0,0.460064002,0
US,Bastrop,Texas,0.460065501,0,0.460065501,0
US,Baylor,Texas,0.460061911,0,0.460061911,0
US,Bee,Texas,0.460064385,0,0.460064385,0
US,Bell,Texas,0.460068379,0,0.460068379,0
US,Bexar,Texas,13.75702962,13,0.757029617,-0.058233047
US,Blanco,Texas,0.460062879,0,0.460062879,0
US,Borden,Texas,0.460069287,0,0.460069287,0
US,Bosque,Texas,0.460068166,0,0.460068166,0
US,Bowie,Texas,1.779130977,1,0.779130977,-0.779130977
US,Brazoria,Texas,2.812098462,2,0.812098462,-0.406049231
US,Brazos,Texas,3.806838621,3,0.806838621,-0.268946207
US,Brewster,Texas,0.460060346,0,0.460060346,0
US,Briscoe,Texas,0.460059254,0,0.460059254,0
US,Brooks,Texas,0.46005689,0,0.46005689,0
US,Brown,Texas,1.779125313,1,0.779125313,-0.779125313
US,Burleson,Texas,0.460062129,0,0.460062129,0
US,Burnet,Texas,0.460065747,0,0.460065747,0
US,Caldwell,Texas,0.460076479,0,0.460076479,0
US,Calhoun,Texas,0.460072563,0,0.460072563,0
